trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9993192722457354}",25,0,-85.38268602310873,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9992856650619379}",25,0,-118.95027514650594,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9992512484568066}",25,0,-61.5453246739121,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9992160224582186}",20,0,-40.94281480906767,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.999179987094707}",20,0,-41.90731535898397,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9991431423954605}",25,0,-148.75903982261178,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9991054883903233}",20,0,-183.2849208551833,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9990670251097952}",20,0,-48.40800871254139,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9990277525850313}",30,0,-189.86269363392734,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-59.76715941519549,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9989467799306948}",20,0,-168.4131679179268,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9989050798667101}",25,0,-106.89766980567883,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9988625706896652}",20,0,-195.81406310013216,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9988192524339927}",25,0,-59.639110989274464,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9987751251347804}",30,0,-150.9434268628105,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9987301888277713}",25,0,-124.84803252875281,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9986844435493639}",30,0,-102.96943022943027,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9986378893366118}",25,0,-214.88006073148756,"{0: 9, 1: 2, 2: 11, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9985905262272239}",20,0,-172.63075419832896,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
61,False,"{'a': 0.5, 'e': 0.9985423542595644}",30,0,-109.12127765850937,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9984933734726525}",20,0,-149.7517203982969,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9984435839061627}",30,0,-110.24536830229302,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9983929856004246}",30,3,-202.50392000273027,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 3}",1
65,False,"{'a': 0.5, 'e': 0.9983415785964227}",20,0,-51.24183418315996,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9982893629357967}",20,0,-161.05972657534022,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9982363386608414}",20,0,-83.76982969001023,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9981825058145062}",20,0,-30.2318018482896,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9981278644403959}",30,0,-167.13293025097698,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9980724145827701}",25,0,-96.55485193433056,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-175.97814374795178,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9979590895972839}",30,0,-304.4436946464276,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 6}",0
73,False,"{'a': 0.5, 'e': 0.9979012145612166}",25,0,-90.58444816322682,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9978425312252203}",20,0,-40.10326119884139,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
